,core_id,serial,fw_version,start,end,loc_id,lat,lon,desc,record_date,battery_level,rain_median,rain_avg,rain_max,rain_min,noise_median,noise_avg,noise_max,noise_min,luminosity,temperature,humidity,pm10,pm25,no2,co,pressure
24,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 22:29:15.622000+00:00,83.2,,-76,1,-361,,60,87,53,65,15.5,87.42,26,26,404,238,1009.65
25,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 22:29:22.069000+00:00,82.21,,0,13,-233,,44,77,31,0,14.85,75.75,18,16,1384,209,1010.15
26,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 22:31:43.175000+00:00,84.34,,24,367,-272,,56,86,50,32,15.14,73.29,31,31,1500,169,1010.51
27,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 22:34:05.762000+00:00,83.52,,-1,760,-462,,40,84,27,1,14.68,73.14,20,20,1557,177,1008.96
28,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 22:34:23.658000+00:00,81.56,,50,64,-258,,34,79,27,4,13.62,79.29,19,15,1888,172,1010.95
29,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 22:35:24.705000+00:00,82.21,,-15,648,-320,,48,86,30,0,14.98,72.35,22,20,1997,169,1008.27
30,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 22:38:28.466000+00:00,81.89,,41,608,-275,,47,78,31,17,14.92,73.47,20,19,1673,192,1011.23
31,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 22:40:14.401000+00:00,82.54,,0,8,-316,,30,86,25,0,14.61,84.6,2,2,1707,181,1010.4
32,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 22:40:50.218000+00:00,83.52,,-1,7,-325,,29,79,26,0,13.93,75.49,18,17,1871,202,1010.97
33,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 22:41:03.520000+00:00,83.2,,-3,15,-1098,,44,86,31,65,15.44,88.65,25,23,386,229,1009.59
34,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-19 22:41:04.294000+00:00,82.21,,5,17,-256,,36,78,28,72,14.66,71.67,24,22,1460,197,1009.49
35,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 22:41:15.669000+00:00,82.05,,3,43,-256,,51,78,45,0,14.85,77.69,19,18,1382,206,1010.05
36,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 22:43:23.634000+00:00,84.34,,4,276,-759,,61,86,55,32,15.17,74.28,29,26,1510,172,1010.43
37,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 22:45:51.756000+00:00,83.36,,-7,9,-723,,37,86,27,1,14.8,73.37,22,21,1556,172,1008.89
38,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 22:46:21.741000+00:00,81.56,,48,62,-332,,35,79,28,4,13.65,79.88,14,13,1881,151,1010.83
39,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 22:47:17.694000+00:00,82.21,,-9,659,-322,,48,86,41,0,15.01,72.53,25,24,1992,170,1008.15
40,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 22:50:24.548000+00:00,81.89,,4,20,-244,,45,78,31,17,14.91,74.76,22,21,1659,175,1011.26
41,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 22:52:36.378000+00:00,83.36,,-4,15,-322,,46,78,31,0,13.67,75.84,15,14,1898,212,1010.93
42,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 22:52:41.576000+00:00,82.38,,0,9,-234,,30,86,25,0,14.62,85.53,2,2,1709,181,1010.36
43,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 22:52:52.797000+00:00,83.2,,-3,14,-279,,47,86,43,69,15.47,89.49,26,25,411,247,1009.54
44,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-19 22:52:58.945000+00:00,82.21,,1,18,-288,,44,78,30,72,14.63,72.42,24,22,1465,201,1009.38
45,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 22:53:12.782000+00:00,82.05,,-1,27,-196,,50,78,45,0,14.87,78.4,20,19,1354,179,1010.03
46,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 22:55:05.659000+00:00,84.17,,5,50,-264,,42,86,30,32,15.13,74.59,34,28,1490,155,1010.33
47,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 22:57:37.084000+00:00,83.2,,-22,362,-508,,53,85,45,1,14.96,73.29,18,17,1535,168,1008.87
